Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:14) <- Pasadena(h:8)(g:7) <- Hoolywood(h:2)(g:5) <- L.A.Airport(h:9)(g:0),46,7,25,14
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:18) <- Pasadena(h:8)(g:11) <- Downtown(h:6)(g:9) <- UCLA(h:1)(g:5) <- L.A.Airport(h:9)(g:0),25,6,30,18
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:14) <- Pasadena(h:8)(g:7) <- Hoolywood(h:2)(g:5) <- L.A.Airport(h:9)(g:0),63,8,25,14
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:26) <- DisneyLand(h:0)(g:20) <- Anaheim(h:1)(g:17) <- Hoolywood(h:2)(g:11) <- UCLA(h:1)(g:5) <- L.A.Airport(h:9)(g:0),14,6,19,26
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:20) <- DisneyLand(h:0)(g:14) <- Anaheim(h:1)(g:11) <- Hoolywood(h:2)(g:5) <- L.A.Airport(h:9)(g:0),50,8,18,20
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:14)(f:20) <- Pasadena(h:8)(g:7)(f:15) <- Hoolywood(h:2)(g:5)(f:7) <- L.A.Airport(h:9)(g:0)(f:0),77,10,25,14
第6回目。生成したパラメータ
hrand,[5|9|4|2|5|1|8|6|1|2]
grand,[4|6|6|1|1|7|7|4|1|5|2|3|2|7|2|6|6|2]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:19) <- Pasadena(h:6)(g:13) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:5)(g:0),36,7,17,19
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:13) <- Pasadena(h:6)(g:7) <- Downtown(h:8)(g:5) <- UCLA(h:9)(g:4) <- L.A.Airport(h:5)(g:0),21,6,30,13
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:13) <- Pasadena(h:6)(g:7) <- Downtown(h:8)(g:5) <- UCLA(h:9)(g:4) <- L.A.Airport(h:5)(g:0),63,10,30,13
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:14) <- DisneyLand(h:1)(g:12) <- Anaheim(h:2)(g:7) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:5)(g:0),13,5,14,14
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:14) <- DisneyLand(h:1)(g:12) <- Anaheim(h:2)(g:7) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:5)(g:0),48,5,14,14
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:13)(f:15) <- Pasadena(h:6)(g:7)(f:13) <- Downtown(h:8)(g:5)(f:13) <- UCLA(h:9)(g:4)(f:13) <- L.A.Airport(h:5)(g:0)(f:0),71,9,30,13
第7回目。生成したパラメータ
hrand,[6|1|1|0|5|6|5|1|5|0]
grand,[5|7|2|3|3|5|3|1|3|2|1|3|5|6|4|4|3|6]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:13) <- Pasadena(h:1)(g:10) <- Hoolywood(h:1)(g:7) <- L.A.Airport(h:6)(g:0),27,7,8,13
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:15) <- Pasadena(h:1)(g:12) <- Downtown(h:5)(g:8) <- UCLA(h:1)(g:5) <- L.A.Airport(h:6)(g:0),22,6,13,15
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:13) <- Pasadena(h:1)(g:10) <- Hoolywood(h:1)(g:7) <- L.A.Airport(h:6)(g:0),62,9,8,13
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:16) <- Pasadena(h:1)(g:13) <- Anaheim(h:0)(g:10) <- Hoolywood(h:1)(g:7) <- UCLA(h:1)(g:5) <- L.A.Airport(h:6)(g:0),15,6,9,16
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:13) <- Pasadena(h:1)(g:10) <- Hoolywood(h:1)(g:7) <- L.A.Airport(h:6)(g:0),39,6,8,13
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:0)(g:13)(f:13) <- Pasadena(h:1)(g:10)(f:11) <- Hoolywood(h:1)(g:7)(f:8) <- L.A.Airport(h:6)(g:0)(f:0),55,7,8,13
第8回目。生成したパラメータ
hrand,[4|9|4|0|8|1|4|5|5|6]
grand,[6|5|5|5|2|5|5|2|6|6|3|6|1|6|2|2|6|7]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:16) <- Pasadena(h:5)(g:10) <- Hoolywood(h:4)(g:5) <- L.A.Airport(h:4)(g:0),27,7,19,16
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:19) <- Pasadena(h:5)(g:13) <- Downtown(h:4)(g:11) <- UCLA(h:9)(g:6) <- L.A.Airport(h:4)(g:0),49,6,28,19
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:15) <- GrandCanyon(h:8)(g:9) <- Anaheim(h:0)(g:7) <- Hoolywood(h:4)(g:5) <- L.A.Airport(h:4)(g:0),60,9,22,15
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:19) <- Pasadena(h:5)(g:13) <- Anaheim(h:0)(g:7) <- Hoolywood(h:4)(g:5) <- L.A.Airport(h:4)(g:0),12,5,19,19
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:16) <- Pasadena(h:5)(g:10) <- Hoolywood(h:4)(g:5) <- L.A.Airport(h:4)(g:0),54,8,19,16
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:6)(g:15)(f:21) <- GrandCanyon(h:8)(g:9)(f:17) <- Anaheim(h:0)(g:7)(f:7) <- Hoolywood(h:4)(g:5)(f:9) <- L.A.Airport(h:4)(g:0)(f:0),82,10,22,15
第9回目。生成したパラメータ
hrand,[4|5|7|3|1|2|0|1|9|3]
grand,[4|1|6|2|7|4|5|7|3|5|6|1|3|2|7|1|7|6]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:13) <- Pasadena(h:1)(g:6) <- Hoolywood(h:7)(g:1) <- L.A.Airport(h:4)(g:0),24,7,15,13
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:20) <- Pasadena(h:1)(g:13) <- Downtown(h:0)(g:6) <- UCLA(h:5)(g:4) <- L.A.Airport(h:4)(g:0),22,6,13,20
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:13) <- Pasadena(h:1)(g:6) <- Hoolywood(h:7)(g:1) <- L.A.Airport(h:4)(g:0),57,9,15,13
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:20) <- Pasadena(h:1)(g:13) <- Downtown(h:0)(g:6) <- UCLA(h:5)(g:4) <- L.A.Airport(h:4)(g:0),21,5,13,20
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:20) <- Pasadena(h:1)(g:13) <- Downtown(h:0)(g:6) <- UCLA(h:5)(g:4) <- L.A.Airport(h:4)(g:0),66,6,13,20
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:13)(f:16) <- Pasadena(h:1)(g:6)(f:7) <- Hoolywood(h:7)(g:1)(f:8) <- L.A.Airport(h:4)(g:0)(f:0),62,9,15,13
第10回目。生成したパラメータ
hrand,[7|8|4|1|9|0|4|4|0|9]
grand,[3|4|2|6|4|5|3|3|3|1|3|3|6|7|2|7|3|4]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:10) <- Pasadena(h:4)(g:7) <- Hoolywood(h:4)(g:4) <- L.A.Airport(h:7)(g:0),25,7,24,10
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:14) <- Pasadena(h:4)(g:11) <- Downtown(h:4)(g:9) <- UCLA(h:8)(g:3) <- L.A.Airport(h:7)(g:0),19,6,32,14
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:10) <- Pasadena(h:4)(g:7) <- Hoolywood(h:4)(g:4) <- L.A.Airport(h:7)(g:0),45,8,24,10
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:13) <- DisneyLand(h:0)(g:9) <- Anaheim(h:1)(g:8) <- Hoolywood(h:4)(g:4) <- L.A.Airport(h:7)(g:0),10,5,21,13
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:13) <- DisneyLand(h:0)(g:9) <- Anaheim(h:1)(g:8) <- Hoolywood(h:4)(g:4) <- L.A.Airport(h:7)(g:0),57,10,21,13
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:9)(g:10)(f:19) <- Pasadena(h:4)(g:7)(f:11) <- Hoolywood(h:4)(g:4)(f:8) <- L.A.Airport(h:7)(g:0)(f:0),42,9,24,10
